ImgDim,BlockX,BlockY,Threads,Mode,Timing
4096,4,2,256,c,9.988
4096,4,2,256,m,13.9512
4096,4,4,32,c,18.711584
4096,4,4,32,m,51.983295
4096,4,4,64,c,13.836224
4096,4,4,64,m,26.430496
4096,4,4,128,c,14.162816
4096,4,4,128,m,13.755936
4096,4,4,256,c,12.431776
4096,4,4,256,m,7.63632
4096,4,8,32,c,13.429824
4096,4,8,32,m,26.461727
4096,4,8,64,c,15.765056
4096,4,8,64,m,15.69088
4096,4,8,128,c,12.86336
4096,4,8,128,m,8.616736
4096,4,8,256,c,13.921056
4096,4,8,256,m,5.811968
4096,4,16,32,c,11.392608
4096,4,16,32,m,15.674016
4096,4,16,64,c,10.10272
4096,4,16,64,m,8.667712
4096,4,16,128,c,9.752544
4096,4,16,128,m,5.678208
4096,4,16,256,c,11.747936
4096,4,16,256,m,4.963328
4096,8,1,32,c,37.044415
4096,8,1,32,m,116.367874
4096,8,1,64,c,19.076992
4096,8,1,64,m,56.655296
4096,8,1,128,c,11.221664
4096,8,1,128,m,28.102528
4096,8,1,256,c,10.79264
4096,8,1,256,m,14.931808
4096,8,2,32,c,20.447071
4096,8,2,32,m,56.333504
4096,8,2,64,c,11.703296
4096,8,2,64,m,26.774015
4096,8,2,128,c,11.418176
4096,8,2,128,m,13.898304
4096,8,2,256,c,11.524128
4096,8,2,256,m,7.496256
4096,8,4,32,c,15.242208
4096,8,4,32,m,26.446783
4096,8,4,64,c,15.642272
4096,8,4,64,m,13.857696
4096,8,4,128,c,15.341504
4096,8,4,128,m,7.485632
4096,8,4,256,c,16.0424
4096,8,4,256,m,4.92624
4096,8,8,32,c,13.247584
4096,8,8,32,m,13.75664
4096,8,8,64,c,14.752352
4096,8,8,64,m,7.516032
4096,8,8,128,c,9.250752
4096,8,8,128,m,4.73184
4096,8,8,256,c,12.045216
4096,8,8,256,m,4.197504
4096,8,16,32,c,11.040704
4096,8,16,32,m,7.559744
4096,8,16,64,c,9.17536
4096,8,16,64,m,4.74096
4096,8,16,128,c,13.534496
4096,8,16,128,m,4.241536
4096,8,16,256,c,14.093344
4096,8,16,256,m,5.08336
4096,16,1,32,c,17.965088
4096,16,1,32,m,52.642559
4096,16,1,64,c,10.979136
4096,16,1,64,m,26.892256
4096,16,1,128,c,11.2792
4096,16,1,128,m,14.004128
4096,16,1,256,c,11.36368
4096,16,1,256,m,7.85728
4096,16,2,32,c,10.62272
4096,16,2,32,m,26.284096
4096,16,2,64,c,10.314432
4096,16,2,64,m,13.881632
4096,16,2,128,c,9.777184
4096,16,2,128,m,7.522624
4096,16,2,256,c,10.4096
4096,16,2,256,m,4.920576
4096,16,4,32,c,14.066944
4096,16,4,32,m,13.744864
4096,16,4,64,c,14.289728
4096,16,4,64,m,7.510528
4096,16,4,128,c,10.581472
4096,16,4,128,m,4.690624
4096,16,4,256,c,13.20048
4096,16,4,256,m,4.19936
4096,16,8,32,c,13.87792
4096,16,8,32,m,7.519456
4096,16,8,64,c,9.477216
4096,16,8,64,m,4.705824
4096,16,8,128,c,13.788224
4096,16,8,128,m,4.248032
4096,16,8,256,c,15.499296
4096,16,8,256,m,5.078048
4096,16,16,32,c,9.96272
4096,16,16,32,m,4.677664
4096,16,16,64,c,13.513792
4096,16,16,64,m,4.269728
4096,16,16,128,c,14.45648
4096,16,16,128,m,5.010336
4096,16,16,256,c,16.315807
4096,16,16,256,m,4.40176
